,Material Description
0,Acsr Aw-Oc Conductor Insulated Wire # 2/0
1,Acsr Aw-Oc Insulated # 4/0 25 Kv
2,Acsr Bare Wire # 4
3,Acsr Insulated Wire # 1/0
4,Acsr Insulated Wire # 2
5,Acsr Conductor Bare Wire #1/0
6,Acsr Conductor Bare Wire #2
7,Acsr Conductor Bare Wire #2/0
8,Acsr Conductor Bare Wire #4/0
9,Acsr Conductor Insulated Wire #2/0
10,Ampact Cartridge Blue #69338-1
11,Ampact Cartridge Red
12,Ampact Cartridge Yellow #69338-4
13,Ampact Connector #600411
14,Ampact Connector #600466
15,Anchor Expanding
16,Anchor Rod Threaded Single Eye 5/8 X 7
17,Anchor Shackle Forged Steel
18,Angle Brace (V-Brace) 60 Span
19,Armor Rod # 1/0 Single Support
20,Armor Rod # 4/0 Single Support
21,Armor Rod # 4/0 Double Support
22,Armor Tape Ft Alloy
23,Armor Rod # 1/0 Double Support
24,Armor Rod # 2/0 Single Support
25,Armor Rod #2/0
26,Bolt Eye Double Arm 3/4 X 26
27,"Bolt, Clevis 3/4 X 14"
28,"Bracket,Suspension Angle 5/8"
29,Breaker 30Amps
30,"C-Clamp 1/2"""
31,Cfl Bulb (5W)
32,Cfl Bulb (15W)
33,Cable Tie 3.6 X 150Mm
34,Cable Tie 4.8 X 250Mm
35,Carriage Bolt 3/8 X 4
36,Clamp Anchor Rod Bonding Single Eye Rod
37,Clamp Anchor Rod Bonding Twin Eye Rod
38,Clamp Lood Deadend #4/0
39,Clamp Guy 3 Bolt Hd
40,Clamp Loop Deadend # 2/0
41,"Clevis ,Bracket Deadend W/O Spool"
42,Clevis Service Swinging W/O Spool
43,Clevis Ball Y
44,Clevis Sec. Swinging W/O Spool
45,Clip Ground Wire (Non-Moving)
46,Compression #350(399)
47,Compression Cocnector #250
48,Compression Connector # 125
49,Compression Connector # 400 (Wr419)
50,Compression Connector # 6
51,Compression Connector #100 (159)
52,Compression Connector #150 (189)
53,Compression Connector #200 (289)
54,Compression Connector #300 (279)
55,"Concrete Anchor Block 3' X 6"" Dia"
56,"Concrete Anchor Block 4' X 8""Dia"
57,Concrete Anchor Block 8 X 5-0
58,Concrete Pole 35 Ft
59,Concrete Pole 40 Ft.
60,Concrete Pole 45 Ft.
61,Concrete Pole 50 Ft.
62,Conductor Bare Acsr # 336.4 Mcm
63,Conductor Insulation
64,"Conductor Clamp,Angle Type For 336.4Mcm"
65,"Conduit ""Ll"" #1"
66,"Conduit ""Ll"" #2"
67,"Conduit ""T"" #1"
68,Convenience Outlet 2 Gang
69,Convenience Outlet 3 Gang
70,Copper Wire # 1/0 (50Mm)
71,Copper Wire # 14 (2.0Mm)
72,Copper Wire # 2 (30Mm)
73,Copper Wire # 2/0 (60 Mm)
74,Copper Wire # 200Mm
